Course,Daytime evening attendance,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem enrolled,Curricular units 1st sem approved,Curricular units 1st sem grade,Curricular units 2nd sem enrolled,Curricular units 2nd sem approved,Curricular units 2nd sem grade,Target
10,1,0,0,1,0,0,19,6,5,11.6666666666667,6,4,11.0,2
12,1,0,0,1,0,0,29,8,7,14.2571428571429,8,7,14.2571428571429,2
10,1,1,0,1,0,0,21,6,3,12.0,6,2,11.3333333333333,0
6,1,1,0,1,0,0,28,5,4,11.25,5,4,10.5,1
13,1,0,0,1,0,0,20,7,7,12.4571428571429,8,8,13.5625,2
12,1,1,0,1,0,0,19,7,6,11.6833333333333,7,6,11.6833333333333,2
3,0,0,0,1,0,0,26,6,3,11.6666666666667,6,5,12.0,2
11,1,1,1,0,0,0,20,6,4,11.75,6,6,13.1666666666667,0
14,1,1,0,1,0,1,18,5,3,11.6666666666667,5,4,13.5,1
16,1,0,0,1,0,0,27,6,5,13.2,6,5,12.0,2
12,1,1,0,1,0,0,20,7,4,11.95,7,4,11.95,0
16,1,1,0,1,0,0,18,6,5,12.4,6,5,10.4,0
12,1,0,0,1,0,0,33,7,6,14.35,8,6,14.5833333333333,0
16,1,1,0,1,0,0,35,21,21,12.6190476190476,19,19,12.7894736842105,2
17,0,0,0,1,0,1,26,6,6,12.6666666666667,6,6,13.1666666666667,1
15,1,0,1,0,0,0,27,6,5,12.0,6,0,0.0,0
5,1,1,0,0,0,0,19,6,6,12.1666666666667,6,0,0.0,0
11,1,0,0,1,0,0,20,6,0,0.0,6,0,0.0,0
9,1,1,1,0,0,0,20,5,3,10.0,5,3,10.5714285714286,0
10,1,0,1,0,0,0,21,10,8,11.5,6,4,10.0,1
12,1,1,0,1,0,1,18,7,6,13.05,7,6,13.05,2
6,1,1,0,1,0,0,24,6,2,11.0,6,0,0.0,0
5,1,1,0,1,0,0,20,6,6,11.5,6,6,12.0,2
11,1,0,0,1,0,1,21,6,6,12.0,6,6,12.5,2
3,0,0,0,1,0,0,23,6,2,10.0,5,1,10.0,1
9,1,1,0,1,0,0,24,5,0,0.0,5,0,0.0,0
16,1,0,0,1,0,0,21,6,0,0.0,6,0,0.0,0
12,1,1,0,1,0,0,18,8,7,12.2428571428571,8,7,12.2428571428571,2
17,0,1,0,1,0,0,27,5,0,0.0,5,0,0.0,0
12,1,1,0,1,0,0,18,8,8,12.93375,8,8,12.93375,2
7,1,0,0,1,0,0,35,5,0,0.0,5,0,0.0,0
16,1,0,0,1,0,0,18,7,7,12.5714285714286,7,7,14.4285714285714,2
12,1,0,0,1,0,0,35,3,3,11.8166666666667,3,3,11.3333333333333,1
6,1,1,0,1,0,0,19,5,4,13.75,5,4,14.3333333333333,2
10,1,1,0,1,0,0,20,6,6,11.1666666666667,6,6,11.3333333333333,2
12,1,1,0,1,0,0,18,8,7,12.3242857142857,8,7,12.3242857142857,2
10,1,0,1,1,0,0,21,6,6,12.1666666666667,6,6,11.7142857142857,2
10,1,0,0,1,0,1,18,6,5,11.1428571428571,6,4,11.25,2
10,1,1,0,1,0,0,18,6,4,11.0,6,4,10.75,2
12,1,1,0,1,0,0,18,8,7,12.9142857142857,8,7,12.9142857142857,2
15,1,1,0,1,0,1,18,6,6,13.8333333333333,6,6,14.1666666666667,2
6,1,1,0,1,0,0,19,6,6,13.8571428571429,6,5,13.4,2
11,1,0,0,1,0,1,36,6,6,13.7142857142857,6,5,12.8,0
12,1,1,0,1,0,1,18,8,7,12.6428571428571,8,7,12.6428571428571,2
12,1,0,0,1,0,1,18,7,6,12.9166666666667,7,6,12.9166666666667,2
8,1,1,0,1,0,1,20,6,6,15.625,6,6,15.8571428571429,2
17,0,0,0,1,0,1,26,5,0,0.0,5,0,0.0,0
15,1,0,0,1,0,0,21,6,6,11.7142857142857,6,6,12.0,2
13,1,0,0,1,0,0,25,7,6,12.125,8,8,13.3125,1
9,1,1,0,1,0,1,19,5,5,11.6,5,5,11.6,2
3,0,1,0,1,0,0,24,6,1,10.0,6,0,0.0,0
3,0,0,0,1,0,1,27,6,1,10.0,6,0,0.0,0
6,1,0,0,1,0,0,21,5,0,0.0,5,2,13.5,0
9,1,0,0,1,0,1,18,5,4,13.0,5,3,12.3333333333333,2
16,1,0,0,1,0,1,19,6,6,13.3333333333333,6,6,14.5,2
11,1,1,0,1,0,0,18,6,4,11.25,6,2,12.5,0
12,1,0,0,1,0,1,19,7,5,13.85,8,7,12.1928571428571,2
12,1,1,0,1,0,1,19,7,6,13.7416666666667,8,7,14.9125,2
17,0,0,0,1,0,0,33,6,6,15.3333333333333,5,5,15.8,2
9,1,0,0,1,0,0,45,5,5,11.0,5,5,13.8,2
10,1,0,0,1,0,1,20,6,6,12.0,6,6,12.8571428571429,2
14,1,1,0,1,0,0,28,5,0,0.0,5,0,0.0,0
12,1,1,0,1,0,1,19,8,7,11.5714285714286,8,7,11.5714285714286,2
11,1,1,0,1,0,0,18,6,6,12.8571428571429,6,3,12.6666666666667,2
11,1,0,0,1,0,0,38,6,0,0.0,6,0,0.0,0
14,1,0,0,1,0,0,19,5,5,13.0,5,5,13.2,2
11,1,0,0,1,0,1,21,6,5,11.0,6,5,12.0,2
9,1,0,0,1,0,0,21,5,3,12.0,5,1,15.0,0
10,1,0,0,1,0,1,22,6,5,12.6,6,6,13.0,2
16,1,0,0,1,0,1,18,6,5,13.4,6,6,13.1666666666667,2
10,1,0,0,1,0,1,18,6,6,11.3333333333333,6,6,11.5714285714286,2
8,1,1,0,0,0,0,25,5,4,13.5,5,4,14.25,0
6,1,0,1,0,0,0,24,6,3,11.75,6,3,10.3333333333333,0
12,1,1,0,1,0,0,19,7,6,12.4714285714286,7,7,11.4625,1
2,1,1,0,1,0,0,24,17,11,12.9090909090909,13,9,13.5555555555556,1
9,1,1,0,1,0,1,20,5,5,11.6,5,5,13.6,2
9,1,0,0,0,0,0,25,5,0,0.0,5,0,0.0,0
9,1,0,0,1,0,1,20,10,9,12.9,10,10,12.3636363636364,2
12,1,0,0,1,0,0,23,8,8,13.22,8,8,13.22,2
12,1,1,0,1,0,1,19,8,7,13.1514285714286,8,7,13.1514285714286,2
4,1,0,1,0,0,0,29,6,3,12.75,6,3,11.3333333333333,0
11,1,1,0,1,0,0,21,6,6,11.3333333333333,6,4,12.25,2
14,1,1,0,1,0,1,18,6,6,13.25,6,5,14.1428571428571,2
5,1,1,0,1,0,0,19,6,5,12.4,6,5,12.4,1
15,1,1,0,1,0,1,18,6,6,15.0,6,6,12.8333333333333,0
6,1,0,0,1,0,0,19,5,5,14.4,5,5,13.0,2
15,1,1,0,1,0,0,18,6,1,11.0,6,0,0.0,1
9,1,0,0,1,0,0,18,5,5,12.4,5,5,10.8,2
13,1,1,1,0,0,1,37,7,1,16.0,7,0,0.0,0
17,0,0,0,1,0,0,29,5,5,13.5714285714286,5,5,12.3333333333333,2
5,1,0,0,1,0,0,18,6,6,11.8333333333333,6,6,12.5,1
10,1,1,0,1,0,1,19,6,5,11.6666666666667,6,5,12.6666666666667,2
10,1,1,1,0,0,0,22,10,6,11.8333333333333,7,2,13.0,0
11,1,0,0,1,0,1,20,6,6,11.1666666666667,6,5,10.6,2
3,0,0,0,1,0,0,34,6,0,0.0,6,0,0.0,0
7,1,0,1,0,0,0,30,12,8,11.75,12,6,12.1666666666667,0
10,1,0,0,1,0,0,18,6,6,14.0,6,6,14.0,2
10,1,0,0,1,0,0,18,6,6,12.8333333333333,6,6,12.0,2
15,1,1,0,1,0,0,18,6,4,12.25,6,3,11.6666666666667,2
12,1,1,0,1,0,0,18,8,7,14.8285714285714,8,7,14.8285714285714,2
15,1,1,0,1,0,1,19,6,5,11.4,6,5,12.8,2
5,1,1,0,1,0,1,19,6,6,13.0,6,6,12.5,2
12,1,0,0,1,0,1,18,8,7,13.6714285714286,8,7,13.6714285714286,2
4,1,0,0,1,0,1,21,6,6,12.6666666666667,6,5,12.8,2
9,1,1,0,0,0,0,20,5,2,10.0,5,1,13.0,0
9,1,1,0,1,0,0,20,5,5,13.5,5,5,12.3333333333333,2
12,1,0,0,1,0,0,19,7,7,12.67,8,8,13.55,2
10,1,0,0,1,0,0,20,6,6,14.5,6,6,15.4285714285714,2
12,1,1,0,1,0,0,18,7,7,13.6857142857143,8,8,15.3875,2
16,1,0,0,1,0,0,20,6,5,11.0,6,3,10.6666666666667,0
8,1,0,1,0,0,0,29,9,7,11.5555555555556,7,5,13.2,0
12,1,0,0,1,0,1,18,7,7,13.7971428571429,8,8,13.775,1
12,1,1,0,1,0,1,20,7,7,14.00375,8,7,13.8128571428571,2
9,1,1,0,1,0,1,22,5,4,12.0,5,4,11.4,2
3,0,1,0,1,0,1,47,6,5,14.1666666666667,6,6,14.1666666666667,2
17,0,0,0,1,0,0,31,5,5,14.0,5,5,13.8,2
5,1,0,0,1,0,1,21,6,5,13.8,6,6,12.8333333333333,2
3,0,0,0,1,0,0,21,6,5,12.8,6,6,11.8571428571429,2
15,1,0,0,1,0,0,24,6,6,12.1666666666667,6,6,13.8333333333333,2
5,1,0,0,1,0,0,18,6,6,12.5,6,6,12.3333333333333,1
3,0,0,0,1,0,0,32,6,4,12.0,6,4,11.5,2
3,0,1,0,1,0,1,19,6,6,10.8333333333333,6,6,11.5,2
12,1,1,0,1,0,0,24,8,8,13.385,8,8,13.385,2
6,1,1,0,1,0,0,19,6,6,15.6666666666667,6,6,14.5,2
4,1,0,1,1,0,1,19,6,6,14.3333333333333,6,6,13.8333333333333,2
4,1,0,0,1,0,0,24,6,6,11.4285714285714,6,5,13.0,1
10,1,1,0,1,0,1,18,6,6,11.6666666666667,6,6,11.6666666666667,2
5,1,1,0,1,0,1,19,6,5,12.0,6,2,11.3333333333333,0
12,1,0,0,1,0,1,19,8,7,14.7257142857143,8,7,14.7257142857143,2
15,1,1,0,1,0,1,18,6,6,14.1666666666667,6,6,13.6666666666667,2
10,1,1,0,1,0,0,18,6,6,11.5714285714286,6,6,12.3333333333333,2
13,1,1,0,1,0,0,20,7,7,12.5,8,8,13.1375,2
12,1,0,0,1,0,0,18,8,8,12.86,8,8,12.86,2
14,1,1,0,1,0,0,18,6,6,12.25,6,6,13.7142857142857,2
6,1,1,0,1,0,1,21,5,4,12.0,5,5,12.2,2
12,1,0,0,1,0,1,18,7,7,15.1166666666667,8,8,16.1688888888889,2
14,1,0,1,0,0,0,18,5,2,12.5,5,4,10.25,0
10,1,1,0,1,0,0,19,6,0,0.0,6,0,0.0,0
14,1,1,0,1,0,0,19,6,4,11.0,6,4,11.0,1
14,1,1,0,1,0,0,18,6,6,11.875,6,4,14.6,2
8,1,1,0,1,0,0,34,5,1,11.0,5,0,0.0,0
6,1,0,0,1,0,0,19,5,5,15.2,5,5,13.2,2
8,1,1,1,0,0,0,19,6,5,11.6,6,2,11.0,0
10,1,0,1,1,0,0,26,6,6,14.8333333333333,6,6,15.1428571428571,2
16,1,1,0,1,0,0,21,6,3,11.3333333333333,6,3,11.3333333333333,0
9,1,0,0,1,0,1,18,5,5,11.2,5,5,11.8,2
16,1,1,0,1,0,1,20,6,5,13.4,6,5,13.6666666666667,2
9,1,0,0,1,0,0,25,5,2,10.5,5,0,0.0,0
9,1,0,0,1,0,0,18,5,5,16.2,5,5,16.4,2
12,1,1,0,1,0,1,18,7,7,14.5428571428571,8,8,14.8818181818182,2
12,1,0,0,1,0,0,19,7,7,13.6942857142857,8,8,14.3555555555556,2
10,1,0,0,1,0,1,18,6,6,11.2857142857143,6,6,11.8571428571429,2
12,1,0,0,1,0,0,20,7,6,11.7571428571429,8,6,13.0833333333333,1
6,1,0,1,0,0,0,26,3,0,0.0,6,0,0.0,0
12,1,1,0,1,0,1,19,8,7,13.0585714285714,8,7,13.0585714285714,2
12,1,0,0,1,0,0,19,7,7,14.3,8,8,14.0555555555556,2
9,1,0,0,1,0,0,19,10,5,11.8,10,8,12.0,2
6,1,1,0,1,0,0,19,5,3,10.3333333333333,5,3,13.0,1
11,1,1,0,1,0,0,18,6,6,10.5714285714286,6,3,11.6666666666667,2
12,1,1,0,1,0,0,19,7,6,13.3333333333333,7,6,13.3333333333333,2
10,1,0,1,1,0,0,18,6,6,11.8571428571429,6,5,11.0,2
16,1,1,0,1,0,0,18,6,5,12.6,6,5,11.4,1
6,1,1,0,1,0,0,18,5,5,14.0,5,5,11.6,1
16,1,1,0,1,0,0,18,7,5,12.0,7,6,12.6666666666667,1
7,1,0,1,1,0,0,26,5,0,0.0,5,0,0.0,0
10,1,1,0,1,0,0,20,6,6,12.0,6,6,13.0,2
3,0,0,0,1,0,0,19,6,6,12.6666666666667,6,6,11.6666666666667,2
10,1,1,0,1,0,1,18,6,6,12.1666666666667,6,6,13.6666666666667,2
10,1,0,0,1,0,0,19,6,6,13.3333333333333,6,6,14.6666666666667,2
16,1,0,1,1,0,0,40,7,7,15.0,7,7,14.5714285714286,2
12,1,1,0,1,0,1,18,8,8,13.39125,8,8,13.39125,2
10,1,0,0,1,0,0,19,6,5,12.1666666666667,6,6,12.4285714285714,2
8,1,0,0,1,0,0,18,5,4,11.25,5,4,12.5,2
6,1,1,0,1,0,0,19,5,4,12.0,5,3,12.0,1
2,1,1,0,1,0,0,18,0,0,0.0,0,0,0.0,0
3,0,1,0,1,0,0,33,6,6,12.8333333333333,6,6,12.8571428571429,2
4,1,0,0,1,0,0,35,6,6,14.0,6,6,13.1,2
9,1,1,0,1,0,0,26,5,4,13.0,5,2,12.0,1
15,1,1,0,1,0,0,18,6,6,13.5,6,6,12.5,2
10,1,0,0,1,0,0,36,16,13,10.6923076923077,13,9,12.3076923076923,1
17,0,0,0,1,0,0,39,5,5,11.0,5,5,11.6666666666667,2
10,1,0,0,1,0,0,44,6,6,13.0,6,6,13.8333333333333,2
3,0,0,0,1,0,0,20,6,5,12.0,6,4,11.25,1
11,1,1,0,1,0,0,24,6,4,12.6,6,4,11.5,0
15,1,0,0,1,0,1,20,6,6,13.6666666666667,6,6,13.3333333333333,2
2,1,1,0,0,0,0,19,0,0,0.0,0,0,0.0,0
12,1,0,1,1,0,1,18,7,6,14.2,7,6,14.2,2
11,1,0,1,0,0,0,22,6,5,11.0,6,0,0.0,0
6,1,1,0,1,0,0,18,6,6,15.0,6,6,16.4285714285714,2
12,1,0,0,1,0,0,24,7,6,12.5857142857143,8,7,13.4428571428571,2
17,0,0,0,1,0,0,33,5,0,0.0,5,0,0.0,0
4,1,0,1,1,0,1,30,6,0,0.0,6,0,0.0,1
6,1,0,0,1,0,0,26,6,0,0.0,6,0,0.0,0
16,1,1,0,1,0,0,18,6,6,11.6666666666667,6,6,11.8333333333333,2
15,1,0,1,1,0,0,19,6,3,12.6666666666667,6,2,10.0,0
9,1,1,0,1,0,0,20,5,3,10.3333333333333,5,4,11.0,1
6,1,1,0,1,0,1,22,11,8,13.5,9,7,13.7142857142857,2
12,1,1,0,1,0,0,19,7,5,13.98,7,5,13.98,1
6,1,1,0,1,0,1,21,6,6,16.1538461538462,6,6,15.75,2
12,1,1,0,1,0,1,21,7,6,14.0333333333333,7,6,14.0333333333333,2
6,1,0,0,1,0,0,19,5,1,11.0,5,5,11.2,1
16,1,1,0,1,0,1,19,7,7,13.8571428571429,7,6,13.6666666666667,2
12,1,1,0,1,0,0,18,8,7,13.4142857142857,8,7,13.4142857142857,0
